id_sensor,timestamp,temperatura_c,voltaje_v,corriente_ma,estado
S04,2026-08-01 01:45:00,32.04,5.477,126.5, Ok
S04,2026-08-01 01:46:00,37.95,5.128,105.4, Ok
S03,2026-08-01 01:47:00,,4.894,138.3,ok 
S02,2026-08-01 01:48:00,42.38,5.145,117.8,ok 
S03,2026-08-01 01:49:00,36.84,4.946,114.9,ok 
S02,2026-08-01 01:50:00,39.23,4.927,131.2,ok 
S04,2026-08-01 01:51:00,32.15,"5,136",94.2,OK
S03,2026-08-01 01:52:00,39.07,5.005,127.1,OK
S02,2026-08-01 01:53:00,40.34,5.042,158.3, Falla
S03,2026-08-01 01:54:00,36.16,5.002,129.3, Ok
S03,2026-08-01 01:55:00,36.17,5.05,112.5,OK
S01,2026-08-01 01:56:00,36.35,5.064,109.9,ok 
S01,2026-08-01 01:57:00,30.68,4.709,111.8, Ok
S01,2026-08-01 01:58:00,34.26,5.1,114.9, Ok
S01,2026-08-01 01:59:00,34.24,4.853,112.4,OK
S02,2026-08-01 02:00:00,36.92,4.784,138.3,OK
S03,2026-08-01 02:01:00,40.0,4.991,85.3, Ok
S03,2026-08-01 02:02:00,29.71,5.013,137.2,OK
S02,2026-08-01 02:03:00,34.37,4.896,112.4,OK
S04,2026-08-01 02:04:00,42.41,5.125,127.5, Ok
S03,2026-08-01 02:05:00,31.28,4.799,97.5, Ok
S01,2026-08-01 02:06:00,30.89,4.939,146.6,falla
S04,2026-08-01 02:07:00,36.01,4.912,144.9,falla
S03,2026-08-01 02:08:00,39.22,4.993,139.2,OK
S03,2026-08-01 02:09:00,35.06,5.042,89.7,OK
S03,2026-08-01 02:10:00,41.64,4.849,136.6,falla
S03,2026-08-01 02:11:00,39.28,5.109,128.1,OK
S01,2026-08-01 02:12:00,39.21,5.009,87.9, Ok
S03,2026-08-01 02:13:00,37.77,4.716,119.5,OK
S04,2026-08-01 02:14:00,46.64,4.706,127.3, Falla
S02,2026-08-01 02:15:00,33.97,4.998,131.1, Ok
S03,2026-08-01 02:16:00,24.98,4.967,123.5, Ok
S01,2026-08-01 02:17:00,43.02,4.984,125.8,OK
S02,2026-08-01 02:18:00,32.71,4.996,149.5,ok 
S02,2026-08-01 02:19:00,35.54,5.034,144.5,ok 
S04,2026-08-01 02:20:00,41.55,5.142,62.7, Ok
S01,2026-08-01 02:21:00,26.99,4.833,113.7,ok 
S02,2026-08-01 02:22:00,28.74,4.824,116.7,OK
S02,2026-08-01 02:23:00,26.99,4.836,85.0, Ok
S04,2026-08-01 02:24:00,999.0,5.043,121.9, Ok
S04,2026-08-01 02:25:00,37.2,5.187,145.0,falla
S01,2026-08-01 02:26:00,37.62,4.935,98.3,OK
S01,2026-08-01 02:27:00,36.38,4.625,126.7,ok 
S04,2026-08-01 02:28:00,27.94,4.744,101.7, Ok
S01,2026-08-01 02:29:00,23.45,4.875,106.6, Ok
S04,2026-08-01 02:30:00,35.27,4.916,149.5,ok 
S02,2026-08-01 02:31:00,32.64,4.939,109.1,OK
S04,2026-08-01 02:32:00,37.3,5.006,129.2,ok 
S02,2026-08-01 02:33:00,38.51,4.953,82.6, Ok
S02,2026-08-01 02:34:00,35.69,5.157,157.2, Falla
S03,2026-08-01 02:35:00,38.8,4.899,132.1, Falla
S01,2026-08-01 02:36:00,36.15,4.871,116.4,OK
S03,2026-08-01 02:37:00,37.65,5.072,131.5,ok 
S03,2026-08-01 02:38:00,31.48,4.77,91.8,OK
S04,2026-08-01 02:39:00,34.1,5.058,143.7, Ok
S04,2026-08-01 02:40:00,35.98,5.015,113.5,OK
S03,2026-08-01 02:41:00,39.1,4.978,115.9,ok 
S02,2026-08-01 02:42:00,33.03,5.238,110.2, Ok
S02,2026-08-01 02:43:00,37.61,4.907,108.4, Ok
S02,2026-08-01 02:44:00,33.67,5.309,133.9,FALLA
S04,2026-08-01 02:45:00,34.41,4.966,125.1,OK
S02,2026-08-01 02:46:00,39.15,N/A,133.0, Ok
S01,2026-08-01 02:47:00,25.03,5.01,119.8,ok 
S02,2026-08-01 02:48:00,28.52,4.839,130.3,OK
S01,2026-08-01 02:49:00,27.59,4.887,111.6,ok 
S01,2026-08-01 02:50:00,23.33,5.06,164.6,ok 
S01,2026-08-01 02:51:00,31.61,5.083,88.6,ok 
S04,2026-08-01 02:52:00,999.0,4.907,145.2,OK
S03,2026-08-01 02:53:00,33.58,5.148,147.4, Falla
S03,2026-08-01 02:54:00,35.99,5.174,103.0,ok 
S02,2026-08-01 02:55:00,40.45,5.215,164.6, Falla
S03,2026-08-01 02:56:00,41.64,5.079,139.9, Ok
S01,2026-08-01 02:57:00,34.65,5.205,139.4,OK
S04,2026-08-01 02:58:00,41.77,4.718,120.6, Ok
S03,2026-08-01 02:59:00,35.46,4.952,115.7,OK
S04,2026-08-01 03:00:00,30.81,4.87,115.8, Ok
S01,2026-08-01 03:01:00,32.03,"5,018",127.8,ok 
S02,2026-08-01 03:02:00,27.6,4.914,148.0,OK
S03,2026-08-01 03:03:00,30.56,4.975,123.6,OK
S02,2026-08-01 03:04:00,33.21,5.282,101.8, Ok
S02,2026-08-01 03:05:00,39.02,4.975,136.5, Ok
S01,2026-08-01 03:06:00,43.6,5.062,138.4,falla
S02,2026-08-01 03:07:00,28.09,4.965,133.1,ok 
S01,2026-08-01 03:08:00,36.96,5.011,134.9,ok 
S02,2026-08-01 03:09:00,29.8,5.001,114.6,OK
S03,2026-08-01 03:10:00,37.37,5.067,101.4,ok 
S03,2026-08-01 03:11:00,34.34,5.175,102.6, Ok
S03,2026-08-01 03:12:00,25.85,5.247,87.3, Ok
S02,2026-08-01 03:13:00,39.64,5.046,124.7, Ok
S04,2026-08-01 03:14:00,31.97,5.088,118.3,OK
S01,2026-08-01 03:15:00,32.33,4.827,111.2,OK
S02,2026-08-01 03:16:00,29.65,4.987,60.9,ok 
S01,2026-08-01 03:17:00,31.73,5.141,95.1,OK
S02,2026-08-01 03:18:00,37.14,5.13,142.4,ok 
S04,2026-08-01 03:19:00,34.05,5.032,106.7,OK
S02,2026-08-01 03:20:00,36.64,5.133,127.2,OK
S04,2026-08-01 03:21:00,36.81,5.074,92.2,OK
S02,2026-08-01 03:22:00,41.6,5.18,148.8,FALLA
S03,2026-08-01 03:23:00,33.29,5.043,117.1, Ok
S02,2026-08-01 03:24:00,27.62,4.947,125.8,OK
S02,2026-08-01 03:25:00,40.34,5.05,166.5,falla
S04,2026-08-01 03:26:00,33.34,4.56,150.3,falla
S04,2026-08-01 03:27:00,40.57,5.057,113.9,OK
S02,2026-08-01 03:28:00,36.92,4.453,108.1,FALLA
S04,2026-08-01 03:29:00,34.34,4.741,113.5, Ok
S02,2026-08-01 03:30:00,36.74,5.068,130.2,OK
S03,2026-08-01 03:31:00,44.76,5.072,117.9,OK
S04,2026-08-01 03:32:00,45.38,4.826,112.1, Falla
S02,2026-08-01 03:33:00,35.35,"4,893",149.3,ok 
S03,2026-08-01 03:34:00,35.8,5.206,117.7,ok 
S02,2026-08-01 03:35:00,40.38,4.927,166.0, Falla
S01,2026-08-01 03:36:00,30.77,5.336,121.8, Ok
S01,2026-08-01 03:37:00,36.67,5.0,155.7,ok 
S02,2026-08-01 03:38:00,34.87,5.061,127.1,ok 
S04,2026-08-01 03:39:00,,5.243,139.3,OK
S01,2026-08-01 03:40:00,30.83,5.02,105.5,OK
S02,2026-08-01 03:41:00,27.05,4.85,102.9,ok 
S03,2026-08-01 03:42:00,24.64,4.984,129.2,OK
S01,2026-08-01 03:43:00,29.41,4.995,139.8, Ok
S03,2026-08-01 03:44:00,32.71,4.795,120.8, Ok
S02,2026-08-01 03:45:00,999.0,4.962,94.3,OK
S04,2026-08-01 03:46:00,44.69,4.889,92.8,ok 
S03,2026-08-01 03:47:00,40.53,5.139,91.5,OK
S03,2026-08-01 03:48:00,30.19,5.005,84.6,ok 
S01,2026-08-01 03:49:00,36.74,4.958,122.2,OK
S02,2026-08-01 03:50:00,32.96,4.984,142.5,ok 
S04,2026-08-01 03:51:00,33.58,5.033,119.7,ok 
S01,2026-08-01 03:52:00,35.93,5.093,74.8,ok 
S04,2026-08-01 03:53:00,38.1,4.85,116.2, Falla
S02,2026-08-01 03:54:00,33.3,4.844,116.7,OK
S03,2026-08-01 03:55:00,40.32,5.166,161.9,falla
S03,2026-08-01 03:56:00,29.29,4.938,90.9, Ok
S02,2026-08-01 03:57:00,35.03,4.787,112.2, Ok
S02,2026-08-01 03:58:00,47.99,5.067,154.1,falla
S03,2026-08-01 03:59:00,36.12,5.07,129.0, Ok
S01,2026-08-01 04:00:00,42.17,4.77,131.3,FALLA
S03,2026-08-01 04:01:00,35.46,5.034,122.3, Ok
S01,2026-08-01 04:02:00,37.9,5.11,126.6,OK
S03,2026-08-01 04:03:00,34.72,5.056,135.6,OK
S03,2026-08-01 04:04:00,34.15,N/A,103.8,ok 
S01,2026-08-01 04:05:00,31.1,4.789,137.6,ok 
S04,2026-08-01 04:06:00,37.15,5.05,92.5, Ok
S02,2026-08-01 04:07:00,30.74,4.955,126.6,OK
S04,2026-08-01 04:08:00,38.33,4.928,123.6, Ok
S01,2026-08-01 04:09:00,40.43,5.131,107.7,OK
S01,2026-08-01 04:10:00,36.83,5.222,119.5,ok 
S02,2026-08-01 04:11:00,33.57,5.269,107.5, Ok
S01,2026-08-01 04:12:00,37.27,N/A,98.6,ok 
S02,2026-08-01 04:13:00,33.46,4.984,112.9, Ok
S03,2026-08-01 04:14:00,,5.053,97.9, Ok
S01,2026-08-01 04:15:00,25.84,"5,115",126.5, Ok
S03,2026-08-01 04:16:00,33.32,5.018,97.0,ok 
S01,2026-08-01 04:17:00,25.05,5.02,134.2,ok 
S01,2026-08-01 04:18:00,27.52,5.124,96.4,OK
S03,2026-08-01 04:19:00,41.82,4.991,108.7,ok 
S04,2026-08-01 04:20:00,39.48,4.891,107.5, Ok
S01,2026-08-01 04:21:00,999.0,4.938,146.5,falla
S02,2026-08-01 04:22:00,27.49,5.095,126.6,ok 
S04,2026-08-01 04:23:00,20.18,5.0,115.8,OK
S04,2026-08-01 04:24:00,32.28,5.051,130.0,ok 
S03,2026-08-01 04:25:00,47.1,5.101,77.9,OK
S02,2026-08-01 04:26:00,37.17,4.944,119.1, Ok
S02,2026-08-01 04:27:00,32.2,5.113,160.0,FALLA
S03,2026-08-01 04:28:00,37.33,5.057,122.6,OK
S03,2026-08-01 04:29:00,27.2,4.815,121.4,OK
S02,2026-08-01 04:30:00,33.51,5.216,131.0, Ok
S01,2026-08-01 04:31:00,35.5,N/A,137.9, Ok
S01,2026-08-01 04:32:00,34.57,4.752,80.1, Ok
S04,2026-08-01 04:33:00,38.95,4.843,86.4,OK
S02,2026-08-01 04:34:00,36.72,4.847,124.2,OK
S02,2026-08-01 04:35:00,38.34,5.008,105.7,OK
S02,2026-08-01 04:36:00,31.56,4.959,146.2, Ok
S04,2026-08-01 04:37:00,39.49,4.949,113.7, Ok
S01,2026-08-01 04:38:00,43.14,5.093,81.3, Ok
S01,2026-08-01 04:39:00,30.15,5.051,94.6,OK
S02,2026-08-01 04:40:00,30.56,"5,047",65.0,OK
S02,2026-08-01 04:41:00,41.68,5.061,115.3, Ok
S03,2026-08-01 04:42:00,34.04,5.092,116.2, Ok
S02,2026-08-01 04:43:00,42.02,4.684,111.5, Ok
S02,2026-08-01 04:44:00,32.79,4.945,141.6,OK
S04,2026-08-01 04:45:00,42.28,4.673,144.0,falla
S01,2026-08-01 04:46:00,35.66,5.005,116.6,OK
S03,2026-08-01 04:47:00,36.29,4.999,77.3, Ok
S03,2026-08-01 04:48:00,42.82,5.157,132.3, Falla
S02,2026-08-01 04:49:00,33.19,5.178,131.1,ok 
S04,2026-08-01 04:50:00,30.29,5.03,126.2,OK
S02,2026-08-01 04:51:00,32.76,4.925,139.6, Ok
S04,2026-08-01 04:52:00,37.26,5.073,96.7,OK
S02,2026-08-01 04:53:00,27.17,4.921,160.2, Ok
S03,2026-08-01 04:54:00,38.19,5.0,100.8, Ok
S03,2026-08-01 04:55:00,32.31,5.148,135.0, Falla
S04,2026-08-01 04:56:00,40.74,4.916,86.3, Ok
S02,2026-08-01 04:57:00,23.03,"5,121",101.4,ok 
S02,2026-08-01 04:58:00,31.07,5.102,150.3,ok 
S01,2026-08-01 04:59:00,26.57,4.857,114.8,OK
S02,2026-08-01 05:00:00,30.87,5.146,136.8, Ok
S04,2026-08-01 05:01:00,36.24,5.105,124.7, Ok
S01,2026-08-01 05:02:00,999.0,5.015,117.9,OK
S04,2026-08-01 05:03:00,33.73,4.886,147.3, Ok
S03,2026-08-01 05:04:00,34.2,"4,871",115.3,OK
S01,2026-08-01 05:05:00,36.02,4.919,84.4,ok 
S02,2026-08-01 05:06:00,29.96,5.081,103.9,OK
S03,2026-08-01 05:07:00,38.53,4.857,131.0,ok 
S02,2026-08-01 05:08:00,38.31,5.066,127.9,ok 
S01,2026-08-01 05:09:00,36.93,4.814,88.7,ok 
S03,2026-08-01 05:10:00,37.78,4.969,105.5, Ok
S03,2026-08-01 05:11:00,36.48,5.016,108.4, Ok
S01,2026-08-01 05:12:00,45.18,5.367,112.7,FALLA
S02,2026-08-01 05:13:00,34.56,4.793,92.5, Ok
S01,2026-08-01 05:14:00,33.46,5.221,107.4,ok 
S03,2026-08-01 05:15:00,31.23,5.022,105.4,OK
S03,2026-08-01 05:16:00,29.84,5.062,135.4,OK
S03,2026-08-01 05:17:00,28.78,5.018,136.2,OK
S04,2026-08-01 05:18:00,30.56,5.067,117.1, Ok
S04,2026-08-01 05:19:00,34.65,4.977,112.2,ok 
S02,2026-08-01 05:20:00,36.67,"5,218",122.8,ok 
S01,2026-08-01 05:21:00,35.26,N/A,103.7,ok 
S03,2026-08-01 05:22:00,31.17,5.17,97.1, Ok
S04,2026-08-01 05:23:00,39.5,4.903,101.2,ok 
S04,2026-08-01 05:24:00,38.7,4.991,107.3,OK
S01,2026-08-01 05:25:00,34.2,4.839,96.7,OK
S01,2026-08-01 05:26:00,31.74,5.068,123.2,ok 
S01,2026-08-01 05:27:00,37.74,5.217,134.6,ok 
S01,2026-08-01 05:28:00,35.94,4.988,88.3, Ok
S03,2026-08-01 05:29:00,27.76,4.97,120.5,ok 
S03,2026-08-01 05:30:00,34.66,4.833,115.6, Falla
S02,2026-08-01 05:31:00,36.31,4.966,126.8,ok 
S02,2026-08-01 05:32:00,999.0,4.761,119.7,ok 
S04,2026-08-01 05:33:00,,4.863,90.9,ok 
S02,2026-08-01 05:34:00,27.73,5.034,94.8,ok 
S04,2026-08-01 05:35:00,41.68,5.198,120.6,falla
S04,2026-08-01 05:36:00,41.24,5.421,140.6,FALLA
S02,2026-08-01 05:37:00,33.74,N/A,75.7,ok 
S01,2026-08-01 05:38:00,36.82,5.215,126.9,OK
S04,2026-08-01 05:39:00,22.95,5.037,143.8, Ok
S03,2026-08-01 05:40:00,29.22,4.977,116.9, Ok
S02,2026-08-01 05:41:00,33.53,5.065,131.0,ok 
S03,2026-08-01 05:42:00,29.64,5.009,105.9, Ok
S03,2026-08-01 05:43:00,38.57,5.017,117.6,ok 
S04,2026-08-01 05:44:00,44.99,4.939,87.6,OK
S02,2026-08-01 05:45:00,29.12,4.79,73.1,ok 
S04,2026-08-01 05:46:00,30.81,4.768,138.9, Ok
S04,2026-08-01 05:47:00,36.18,5.098,100.3,OK
S01,2026-08-01 05:48:00,43.06,4.958,110.9,OK
S01,2026-08-01 05:49:00,28.89,4.911,92.3,OK
S03,2026-08-01 05:50:00,36.25,5.001,91.8, Ok
S01,2026-08-01 05:51:00,44.11,5.119,116.5,ok 
S02,2026-08-01 05:52:00,,5.027,105.4, Ok
S02,2026-08-01 05:53:00,28.59,N/A,127.6, Ok
S04,2026-08-01 05:54:00,32.88,5.184,129.1,ok 
S04,2026-08-01 05:55:00,32.4,5.237,126.4, Ok
S01,2026-08-01 05:56:00,39.06,5.074,124.8,OK
S04,2026-08-01 05:57:00,36.21,5.146,151.6,FALLA
S01,2026-08-01 05:58:00,26.13,5.186,98.6,ok 
S03,2026-08-01 05:59:00,37.58,5.17,118.9,ok 
S04,2026-08-01 06:00:00,32.11,5.092,142.7,OK
S04,2026-08-01 06:01:00,41.37,5.09,145.3,OK
S01,2026-08-01 06:02:00,31.86,5.078,91.6,OK
S04,2026-08-01 06:03:00,31.82,4.835,113.8, Ok
S01,2026-08-01 06:04:00,37.71,5.105,147.2, Ok
S03,2026-08-01 06:05:00,38.81,4.797,130.2,falla
S02,2026-08-01 06:06:00,37.24,4.881,123.9,ok 
S02,2026-08-01 06:07:00,26.57,5.196,115.6,ok 
S01,2026-08-01 06:08:00,37.69,5.126,112.3, Ok
S04,2026-08-01 06:09:00,999.0,5.223,125.8,ok 
S02,2026-08-01 06:10:00,36.18,4.959,115.0,OK
S03,2026-08-01 06:11:00,27.88,4.827,119.1,ok 
S02,2026-08-01 06:12:00,37.23,4.964,121.6, Ok
S02,2026-08-01 06:13:00,30.97,5.015,106.4,ok 
S04,2026-08-01 06:14:00,28.59,5.012,130.6, Ok
S01,2026-08-01 06:15:00,38.57,5.17,178.3, Falla
S03,2026-08-01 06:16:00,36.21,4.946,84.5,OK
S03,2026-08-01 06:17:00,31.93,5.053,126.5, Ok
S02,2026-08-01 06:18:00,42.26,4.852,104.8,ok 
S02,2026-08-01 06:19:00,,5.068,131.5,ok 
S01,2026-08-01 06:20:00,35.16,5.0,120.9,OK
S04,2026-08-01 06:21:00,36.34,4.888,135.2,ok 
S04,2026-08-01 06:22:00,31.9,4.965,143.5,OK
S01,2026-08-01 06:23:00,37.36,4.972,123.8,OK
S01,2026-08-01 06:24:00,32.33,4.959,142.6, Ok
S01,2026-08-01 06:25:00,32.94,5.266,73.1,OK
S01,2026-08-01 06:26:00,41.81,4.985,151.8,FALLA
S04,2026-08-01 06:27:00,29.8,4.963,127.5,OK
S04,2026-08-01 06:28:00,22.94,N/A,141.6,OK
S01,2026-08-01 06:29:00,43.05,4.866,95.6,ok 
S03,2026-08-01 06:30:00,47.75,4.961,103.4, Ok
S01,2026-08-01 06:31:00,32.97,4.897,122.9, Ok
S02,2026-08-01 06:32:00,25.32,5.207,119.7,ok 
S03,2026-08-01 06:33:00,33.45,4.975,125.7,ok 
S03,2026-08-01 06:34:00,33.57,5.193,141.7, Ok
S04,2026-08-01 06:35:00,34.05,5.009,84.7,OK
S01,2026-08-01 06:36:00,,5.006,139.5, Ok
S01,2026-08-01 06:37:00,37.9,4.987,120.2,OK
S02,2026-08-01 06:38:00,37.62,5.001,115.9,OK
S02,2026-08-01 06:39:00,27.53,5.258,90.6,ok 
S04,2026-08-01 06:40:00,38.5,4.652,130.1,falla
S04,2026-08-01 06:41:00,45.26,4.7,71.7, Ok
S02,2026-08-01 06:42:00,35.86,4.919,133.0, Ok
S04,2026-08-01 06:43:00,33.31,5.002,90.2,ok 
S02,2026-08-01 06:44:00,34.29,5.104,121.1, Ok
S03,2026-08-01 06:45:00,38.08,5.071,117.6, Ok
S02,2026-08-01 06:46:00,26.35,4.942,143.4, Ok
S01,2026-08-01 06:47:00,35.82,5.153,116.4, Ok
S04,2026-08-01 06:48:00,999.0,5.155,106.1,ok 
S01,2026-08-01 06:49:00,44.24,5.028,109.9,OK
S01,2026-08-01 06:50:00,34.13,5.144,145.5, Ok
S01,2026-08-01 06:51:00,43.34,5.041,130.7,ok 
S02,2026-08-01 06:52:00,29.48,4.916,112.3, Ok
S01,2026-08-01 06:53:00,37.94,5.105,115.3, Ok
S01,2026-08-01 06:54:00,,5.017,88.7,OK
S03,2026-08-01 06:55:00,30.65,5.0,127.8,ok 
S04,2026-08-01 06:56:00,35.89,5.221,84.8,OK
S01,2026-08-01 06:57:00,41.06,4.632,135.0,OK
S02,2026-08-01 06:58:00,33.38,4.787,122.6, Ok
S03,2026-08-01 06:59:00,26.54,4.822,167.7, Falla
S04,2026-08-01 07:00:00,34.91,4.946,98.0, Ok
S03,2026-08-01 07:01:00,30.49,4.962,117.9, Ok
S04,2026-08-01 07:02:00,33.29,4.774,156.0,ok 
S03,2026-08-01 07:03:00,34.59,4.852,143.8,ok 
S02,2026-08-01 07:04:00,26.47,4.871,106.1, Ok
S01,2026-08-01 07:05:00,26.92,5.369,124.5,ok 
S04,2026-08-01 07:06:00,37.41,5.27,120.0,ok 
S04,2026-08-01 07:07:00,32.39,4.938,125.6,OK
S01,2026-08-01 07:08:00,22.18,4.945,106.0, Ok
S03,2026-08-01 07:09:00,38.92,4.828,118.2, Ok
S01,2026-08-01 07:10:00,36.36,4.714,88.0, Ok
S03,2026-08-01 07:11:00,31.43,4.982,122.7,ok 
S04,2026-08-01 07:12:00,28.42,4.85,129.0,OK
S01,2026-08-01 07:13:00,39.18,4.987,115.5,OK
S02,2026-08-01 07:14:00,36.75,4.76,87.7,ok 
S01,2026-08-01 07:15:00,46.91,4.886,139.8, Falla
S03,2026-08-01 07:16:00,37.1,5.022,127.3, Ok
S04,2026-08-01 07:17:00,36.94,5.055,105.5, Ok
S01,2026-08-01 07:18:00,34.17,5.063,114.4,ok 
S02,2026-08-01 07:19:00,39.08,"4,802",90.0, Ok
